Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"P-val
"
D14663_at,438,399,633,535,532,334,714,726,405,991,419,362,1569,1605,610,726,264,301,586,739,924,229,1076,366,837,585,390,482,211,619,1142,708,488,924,825,596,449,792,0.868236895545516
U64444_at,995,793,1108,814,852,560,793,902,820,1249,827,667,1077,919,1084,897,759,842,538,987,2048,862,1954,954,1223,924,1092,912,651,1462,1114,1160,899,772,1259,765,974,1031,0.862876752965194
X16064_at,21116,22535,22059,25787,28069,23238,21759,20200,20830,21118,17371,21564,18383,23336,23347,23942,24476,20942,19968,21199,21903,21473,19719,19534,22264,21121,23419,22739,23874,22307,21088,23339,20091,19339,21211,20569,22205,22700,0.859925168009622
M18000_at,17748,19994,17680,18971,15778,22068,17259,20365,21279,17548,23021,21418,19278,29485,17537,19389,22677,20719,24395,21825,16886,19997,22218,21805,20864,22061,21174,22010,18846,16364,20221,20399,20907,23994,20407,21747,20718,18246,0.858415377790135
X00274_at,19748,13356,13769,10249,21432,12115,22819,17537,15788,11024,24729,20761,17103,14610,22204,9988,14157,19293,9890,7657,1031,1749,1432,2274,461,3274,867,5095,14176,15600,13090,943,13273,9066,17423,16543,15834,17500,0.857828770676735
J00105_s_at,21909,18519,13909,15020,24015,16810,20133,21147,15167,24346,18367,15719,22990,10654,21461,16743,21905,14999,10282,21319,19956,12278,19272,11619,11253,19916,8668,16095,16292,21580,20090,12006,18350,17716,21013,12164,18072,20076,0.856723231848896
M32405_at,6163,7942,8221,6320,6498,11769,6839,9251,6595,3957,6315,8314,8335,11735,4415,7415,8099,7582,4621,4830,6853,9394,8204,7423,8491,4844,7412,6618,7206,8050,8680,7626,6290,10268,4123,9644,6733,6640,0.856534034963916
D38047_at,2111,2651,2908,2488,1629,2062,1801,2463,1744,1886,1803,1305,3403,797,1677,2465,1538,1437,1555,2956,4462,2429,4300,2105,2839,2220,1858,1734,1334,2413,3703,2002,1989,1476,2981,2877,1565,2159,0.850387161597915
M64716_at,13008,13162,11780,12189,13970,18059,10624,13174,12905,10747,15166,13288,11038,20770,15832,11477,15306,13935,16602,13342,13856,17184,12715,12916,14736,13508,17233,14178,15307,13164,13528,13722,12670,17165,12084,15683,12554,12754,0.848167191962686
X71428_at,4631,3243,3397,4423,4849,1468,3098,3478,3906,6431,1536,3023,8307,2429,3031,4179,2748,2950,2808,4481,5364,4966,6074,5161,4460,4624,4806,3722,3246,5065,3824,3332,5848,1549,4634,4521,4715,5299,0.846713401110777
M74002_at,1210,1107,1706,1606,962,698,1471,1505,1043,2397,994,913,3847,3651,1729,1542,942,771,547,2149,1501,679,1365,793,2790,1749,945,2446,1187,1356,1301,2868,1431,988,1176,922,1243,1063,0.837520787901459
U91932_at,896,808,1344,870,500,563,1707,1348,1521,1063,852,1080,1534,1339,211,1143,397,988,528,692,620,378,1174,883,781,743,342,740,351,1419,850,618,789,724,1658,799,449,1179,0.837160146564633
U00947_s_at,7544,6458,6756,5502,7994,3920,6682,7083,7504,18335,5061,7537,17992,11922,9157,8195,8189,6181,7673,9020,7222,5777,11530,7980,11075,8338,6966,9149,6924,6705,7799,10985,13671,7473,9282,6356,6777,9770,0.834195172800649
J05249_at,2004,1328,1578,1344,1536,1110,1938,1555,1576,2010,1583,1294,2807,1021,1108,2374,1577,1396,1583,1170,2572,978,2337,1682,1408,1745,694,1599,1406,2018,1700,1715,1999,843,1618,932,841,2525,0.830313698241365
D63481_at,931,401,665,505,921,205,985,677,331,198,439,554,777,633,628,1050,674,612,373,515,1040,535,845,206,430,682,803,486,543,1019,778,784,858,191,501,377,1036,429,0.827670485042306
V00572_at,2933,2232,5538,2745,2866,5402,5584,5017,3391,11416,3666,1925,4657,4496,1114,4150,2480,2904,2783,6754,5511,4157,6813,3882,4468,4386,1917,3836,2589,5531,3221,2506,4298,3061,5472,4044,4525,5737,0.825763128945814
J03459_at,849,1192,1497,720,959,835,922,1216,1323,2020,1435,1234,3235,1255,585,821,940,800,1223,1096,1195,1194,2073,951,1078,1434,876,1255,759,2020,1072,989,1381,726,1307,1540,1136,1634,0.819505682125431
L11066_at,1208,741,2024,1238,852,514,1962,1702,1960,2823,916,3135,4245,1861,906,1396,1183,1456,1637,1584,1348,711,2811,1796,3020,2195,962,1337,1055,1708,1147,1787,3663,1570,1779,1004,589,2407,0.819318211685953
X74104_at,1359,1287,2055,1199,1469,635,1525,1805,1803,2631,1598,1347,3531,605,1018,1962,1017,1288,858,1694,1848,1043,3918,1634,3037,1794,1203,1612,1247,1989,1341,1433,1478,1477,2668,1640,1560,1456,0.817455235248038
D14530_at,16642,18849,20259,19386,14496,17433,17886,17094,18772,18636,16457,20806,21409,26343,18048,19439,15738,19921,20593,15527,19487,11800,18721,18373,18048,16647,11654,21381,17870,16613,18004,16181,19127,14755,19629,14924,15402,22556,0.81192173115139
D79986_at,1232,1093,1710,947,1034,753,2163,1425,1462,1995,488,1586,4087,2817,2314,2044,850,641,952,2236,1911,867,2262,1318,3271,1345,1152,1701,1043,1611,1906,1747,2242,1249,1364,1569,1106,1850,0.810995315516431
X00351_f_at,21210,17558,18530,20530,16998,14925,17084,19599,19112,22677,22483,12044,15569,868,7595,19009,10928,16565,15845,21059,24284,33638,22300,20367,18571,20761,19696,16033,10461,26861,17479,11182,16875,9185,21780,21615,24509,18027,0.810934802919908
J04617_s_at,14391,15147,14101,25196,21684,21136,16203,12889,15278,13402,17723,18833,9487,20459,19602,15189,16094,16604,23570,12824,17272,26900,12002,18396,14649,13734,29814,15596,26632,17713,14573,16833,12911,20792,12531,20127,15001,15654,0.808235775737057
U14973_at,19398,20331,18998,23847,23243,21290,21565,18202,21257,18229,22269,20855,12927,24478,23412,19490,20965,19275,26047,18006,21078,23824,18535,22041,20012,18057,26503,20318,28671,20088,19174,22047,18811,22740,18877,21503,20260,20125,0.804761032525552
D26068_at,3355,2423,3716,3103,2257,2085,3968,3162,3232,3338,2862,3106,8464,7855,4116,4436,2227,2564,2416,3872,3931,1744,5134,2825,5320,3051,2277,3172,1779,4976,4984,3633,4165,2255,5330,3384,2148,4989,0.803753007389684
D25274_at,1148,1312,1538,835,428,426,1249,1505,759,1010,268,802,2708,1987,732,1616,294,665,427,507,1002,622,1900,274,1288,558,788,416,452,1109,1119,699,350,849,1689,1411,1066,1200,0.797082109713387
L06499_at,20764,21733,20332,33795,24652,30549,23104,18949,23168,19472,24314,24383,9991,24322,28105,21817,24536,20360,31255,17636,23316,32791,18202,26787,22295,18283,34392,21037,37882,26232,20903,24376,18634,28164,17342,28208,21614,22023,0.793880696873741
Z29505_at,3115,2403,4232,3267,1593,497,3148,3767,1967,7721,2404,2137,5857,3203,1155,5404,1389,2623,1207,2989,2688,2210,5010,2078,3358,3907,2036,2853,2065,4304,3120,2689,2864,1859,4293,1989,1888,3992,0.790263044807613
L10284_at,1859,2792,3380,2175,2115,1258,3137,2837,2616,6156,1922,3470,6801,5085,1552,2623,2407,2228,2490,1631,2877,1566,5838,3035,3391,2494,1804,2742,2219,3821,2932,1651,2573,2365,3977,3352,3365,2363,0.788087141636277
X69654_at,14339,8995,3407,9501,13139,9679,6609,12996,5844,17340,8179,3463,9984,10260,3061,15264,4503,10194,4657,5086,9748,6280,14776,4398,5914,10724,8461,15355,4222,8360,9988,3885,12725,17186,4888,5716,13914,5333,0.783229511362684
U94586_at,1621,1607,2935,1325,1323,760,2416,2353,2188,2589,1479,1230,5438,5695,1620,2612,1134,1048,1274,3419,3854,1678,2436,2650,4119,3236,2109,1692,1748,2411,1559,1277,3191,3068,3217,2292,2836,1836,0.779236958224879
U51478_at,3756,2534,3849,2160,3314,1330,3002,4275,2937,4455,1489,1951,7798,1472,3146,3906,1775,2988,1594,2271,1861,1365,4335,1938,1488,2186,1389,2293,2214,2863,1842,1793,5098,1710,2442,2101,2801,3921,0.778219983462367
