Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"P-VALUE
"
L10413_at,1922,1691,2150,1599,746,229,2080,2127,1278,3519,635,764,3716,2347,591,2198,660,937,790,917,859,645,1957,410,787,2035,384,768,507,693,405,480,452,494,937,472,777,709,0.000160779784784
X04085_rna1_at,1057,1655,2000,6132,775,294,1220,1990,1143,2472,220,1271,4002,1781,350,3970,747,773,115,1395,823,537,633,464,628,662,434,5880,2140,5171,2886,4680,3077,6001,5064,7260,2027,3070,0.000170238190402
L28010_at,802,1042,1302,868,662,300,1873,1770,1072,2869,586,677,2591,2247,438,1376,464,660,908,575,978,782,1758,1071,904,1998,551,431,449,307,603,438,623,427,614,479,518,1087,0.000187154572115
M29064_at,1513,1235,2008,1450,1185,911,3014,2533,1978,3580,838,1504,4534,2601,244,2688,1322,1646,1411,2221,2239,1515,2347,2096,1388,1858,1203,1183,1065,1790,657,631,1084,833,1409,969,1381,774,0.00026334432114
X56468_at,2689,1894,4091,1545,2011,1521,3147,2927,3089,4059,1641,1881,4738,4687,1667,2657,1685,1114,1232,3072,4172,2133,5838,3043,4143,3041,2243,1220,1108,1378,1862,1618,2105,1280,2611,1644,2064,1916,0.000274302465176
D00763_at,1324,1415,2076,1513,921,632,3365,1907,2398,1404,794,2090,6519,2912,500,2411,470,1509,1855,2304,2676,953,3038,1620,1113,1781,979,816,714,1106,673,546,814,1076,1360,1161,659,474,0.000285154731272
X85372_at,333,857,1785,430,394,436,864,1797,1125,1101,775,773,2406,1645,447,1215,694,794,478,1183,2183,1228,2283,1609,1683,1216,1135,421,298,761,658,479,719,861,854,612,488,710,0.000286367386612
D23673_at,3617,2573,1983,2407,2743,1523,3525,2487,1458,3098,1347,1583,2965,2318,1784,2634,2501,3546,2465,2103,2418,1925,2036,1491,1545,1638,1619,2250,1714,1451,1391,1761,1822,796,1135,1619,1510,1794,0.000310406225643
M29536_at,856,1179,1496,814,755,434,895,1786,1174,1464,1180,1095,2688,1661,549,907,946,654,849,856,1185,608,1404,1029,800,1203,599,508,509,587,840,712,590,524,919,631,750,843,0.000315344294172
U68063_at,1335,903,1985,940,951,613,1946,1849,1534,2863,497,975,4176,2233,591,1941,1561,1046,438,2020,1167,837,1767,1027,586,1317,526,630,379,241,737,747,498,628,811,834,1131,890,0.000322925673369
X91257_at,1580,1596,1689,1371,1428,458,1148,1455,1764,2024,1149,1563,2467,903,1076,1476,1115,1608,1575,1045,1243,1242,2151,1406,1500,1385,1136,1223,1072,937,807,1522,977,723,1206,630,905,701,0.000346741811895
M21259_at,1716,2284,3467,1330,1894,1158,1918,3257,2795,2524,1517,2120,6648,6084,2077,3034,1789,1720,1351,2421,3333,1435,3789,2338,3386,2747,1674,1642,1344,1215,1410,1570,2103,2056,1528,1429,1226,1057,0.000380589430412
M26708_s_at,13394,14004,13899,17667,16112,11362,13410,12420,13996,13281,13733,13387,12920,14896,12682,15580,13793,13764,15351,13249,15727,17474,12874,14373,12941,12669,18094,13290,11844,14714,11287,12793,12532,10213,12003,10561,12419,11996,0.000382925431277
M19311_s_at,6616,5419,6729,4961,6008,2302,8616,10439,8613,15169,3332,4266,14654,3208,1749,7170,2641,2846,2989,6774,9449,6165,7825,3452,3843,5725,3961,1923,2459,3748,2807,3024,4182,5331,3834,2314,3700,2827,0.000438806883561
D50310_at,4031,4058,3835,3147,3151,3052,5117,4212,2207,4477,2680,2338,7098,3705,5146,4282,2612,3218,2215,6862,5526,3819,8149,3074,6096,3989,3820,5950,4135,6850,7798,6544,6048,4099,7808,6926,5644,9116,0.000470906753822
Z48501_s_at,8418,11464,9349,8501,7147,7890,6958,11899,6535,14646,5751,4662,9423,2707,4032,13925,8182,4738,5501,11569,9735,12415,11768,7699,11586,14111,7918,14923,7756,17637,15156,14974,15314,7781,17059,11691,14495,17701,0.000549951305486
U33286_at,280,297,1017,357,332,112,702,977,433,861,385,380,1236,431,128,760,164,445,280,190,609,273,713,250,681,448,210,233,259,385,167,485,238,157,202,155,105,189,0.000682624171034
U30521_at,2191,2336,2824,1591,1720,438,2804,3548,3457,2127,473,558,10059,2444,609,2865,427,422,1625,784,2528,1691,3331,770,703,1661,4620,1048,1180,281,189,314,814,383,564,1517,756,400,0.000696706402015
D84294_at,487,334,898,362,481,1225,2138,826,469,2114,624,616,2215,2274,449,795,1186,504,261,588,551,252,1041,254,880,570,419,480,524,244,293,156,283,271,183,469,775,223,0.000792196901225
D42043_at,2170,1909,1718,1831,1056,1555,2608,1291,1969,1697,4297,2638,2984,4587,2785,2362,1411,2099,1242,2558,1286,686,1239,855,787,1075,891,933,692,1010,1150,1054,1242,646,980,1276,1464,1872,0.000798598681064
L07633_at,3586,3301,4524,2629,2287,2022,5470,7313,3747,5100,1752,4004,8239,1544,1743,4011,4293,4516,2326,4802,5152,3378,4422,4222,3408,3623,2689,1752,1928,2752,2436,1302,2857,2696,3531,2626,3186,2785,0.000822172802361
L08246_at,543,740,2453,961,404,2095,1405,1718,623,1015,1198,1010,1969,1377,791,868,635,827,190,2972,485,375,783,1289,733,742,600,3128,853,6169,5502,2082,6717,1766,4914,2056,4136,4124,0.00089862901005
L11672_r_at,5056,2355,1252,1557,5201,747,3844,2333,2999,3258,591,1837,6101,5118,1540,3159,1514,3629,1742,3888,3583,1954,3420,1288,3894,3367,2756,2474,2228,722,685,1322,794,663,1050,873,2652,2891,0.00103772856589
U09564_at,338,416,791,507,326,209,1037,681,367,589,654,423,975,895,211,817,144,230,381,277,723,403,679,443,349,980,334,357,367,328,316,369,443,177,355,210,221,419,0.001150619995318
X80230_at,659,902,880,873,818,212,1855,1396,1696,704,235,1565,2471,261,617,1052,622,1266,755,498,554,312,312,587,605,563,325,491,264,469,319,269,393,273,639,351,788,366,0.00117552934804
D50063_at,1291,1014,1191,1112,748,651,1231,1386,929,1352,847,853,1791,1105,635,1095,522,746,1035,1213,1520,1091,1920,781,1544,1203,641,887,757,722,772,682,912,550,435,774,587,1241,0.001215910776956
X99585_at,967,920,1299,702,818,671,1097,1360,806,1150,729,749,1655,399,339,1077,690,511,535,1031,1428,1248,1509,1128,1320,976,867,556,452,507,695,481,766,439,810,738,1118,548,0.001465642418143
Z23064_at,1732,1272,1742,950,1253,737,1271,1491,1232,2813,782,1086,3205,743,1182,1450,945,918,913,1146,1689,928,2204,895,1510,1026,997,778,646,721,710,805,1452,748,1020,771,790,1132,0.001506241543801
X74008_at,1317,1016,1927,651,796,547,1469,1908,1576,1909,1360,1191,2906,3824,1104,1146,569,776,691,869,1531,1162,2207,1393,1413,1586,1410,610,533,1173,929,855,902,731,1452,882,906,440,0.001546469569292
HG1112-HT1112_at,1495,2422,3339,1560,1196,1442,1789,3859,2020,1978,1936,1778,3860,637,920,2398,1367,1004,1741,1804,2926,1927,3429,1992,2636,2107,2279,1097,990,1749,1766,917,1754,1205,1623,1808,1223,1414,0.001571147640824
